DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lockoutTime,lastLogonTimestamp,msDS-SupportedEncryptionTypes,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,operatingSystemServicePack,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,lastSetTime,priorSetTime,givenName,userPrincipalName,gPCUserExtensionNames
"CN=71482d49-8870-4cb3-a438-b6fc9ec35d70,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=71482d49-8870-4cb3-a438-b6fc9ec35d70,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5811,,5811,71482d49-8870-4cb3-a438-b6fc9ec35d70,X'0d1cead469f3f341811d295eebc38f56',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,71482d49-8870-4cb3-a438-b6fc9ec35d70,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=aed72870-bf16-4788-8ac7-22299c8207f1,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=aed72870-bf16-4788-8ac7-22299c8207f1,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5812,,5812,aed72870-bf16-4788-8ac7-22299c8207f1,X'eb08bac28b4b4148b8ef2c6930bb0d06',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,aed72870-bf16-4788-8ac7-22299c8207f1,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f58300d1-b71a-4DB6-88a1-a8b9538beaca,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=f58300d1-b71a-4DB6-88a1-a8b9538beaca,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5813,,5813,f58300d1-b71a-4DB6-88a1-a8b9538beaca,X'75109d258a3936469dc2dc29b02d4c30',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,f58300d1-b71a-4DB6-88a1-a8b9538beaca,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=231fb90b-c92a-40c9-9379-bacfc313a3e3,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=231fb90b-c92a-40c9-9379-bacfc313a3e3,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5814,,5814,231fb90b-c92a-40c9-9379-bacfc313a3e3,X'af498fbcbf505147854c3004c9d4675f',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,231fb90b-c92a-40c9-9379-bacfc313a3e3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5815,,5815,4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,X'0fac589baad0864e8e81a3c06ef3852b',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=9738c400-7795-4d6e-b19d-c16cd6486166,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=9738c400-7795-4d6e-b19d-c16cd6486166,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5816,,5816,9738c400-7795-4d6e-b19d-c16cd6486166,X'fd1d557e604ccd42a9b96d4b26afeca5',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,9738c400-7795-4d6e-b19d-c16cd6486166,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=de10d491-909f-4fb0-9abb-4b7865c0fe80,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=de10d491-909f-4fb0-9abb-4b7865c0fe80,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5817,,5817,de10d491-909f-4fb0-9abb-4b7865c0fe80,X'cc5c32fc5fa4e749ad23f211b2406dac',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,de10d491-909f-4fb0-9abb-4b7865c0fe80,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=b96ed344-545a-4172-aa0c-68118202f125,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=b96ed344-545a-4172-aa0c-68118202f125,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5818,,5818,b96ed344-545a-4172-aa0c-68118202f125,X'e50c3560652fb749b904f5b0ded47314',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,b96ed344-545a-4172-aa0c-68118202f125,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=4c93ad42-178a-4275-8600-16811d28f3aa,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=4c93ad42-178a-4275-8600-16811d28f3aa,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5819,,5819,4c93ad42-178a-4275-8600-16811d28f3aa,X'a0914f5be80bd849a21ad7a1089cdf2b',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,4c93ad42-178a-4275-8600-16811d28f3aa,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=c88227bc-fcca-4b58-8d8a-cd3d64528a02,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=c88227bc-fcca-4b58-8d8a-cd3d64528a02,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5820,,5820,c88227bc-fcca-4b58-8d8a-cd3d64528a02,X'1d9438816c35644da4d089158a9db7ef',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,c88227bc-fcca-4b58-8d8a-cd3d64528a02,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=5e1574f6-55df-493e-a671-aaeffca6a100,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=5e1574f6-55df-493e-a671-aaeffca6a100,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5821,,5821,5e1574f6-55df-493e-a671-aaeffca6a100,X'c7ba4f417cf54e499560f5d30574d17d',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,5e1574f6-55df-493e-a671-aaeffca6a100,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=d262aae8-41f7-48ed-9f35-56bbb677573d,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5822,,5822,d262aae8-41f7-48ed-9f35-56bbb677573d,X'da46562df1a8d74da267dd8152e48d8b',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,d262aae8-41f7-48ed-9f35-56bbb677573d,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=82112ba0-7e4c-4a44-89d9-d46c9612bf91,CN=Operations,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5823,,5823,82112ba0-7e4c-4a44-89d9-d46c9612bf91,X'bb9459e015fb1746ae05810131bbeece',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,82112ba0-7e4c-4a44-89d9-d46c9612bf91,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=Windows2003Update,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5824,,5824,Windows2003Update,X'0bcf363dc86f154ca426d84020a9d272',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Windows2003Update,,TRUE,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=domain,DC=local",container,"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5825,,5825,ActiveDirectoryUpdate,X'c2ddb0aed6985b4fa23b014a4b94f631',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,ActiveDirectoryUpdate,,TRUE,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Password Settings Container,CN=System,DC=domain,DC=local",msDS-PasswordSettingsContainer,"CN=Password Settings Container,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5826,,5826,Password Settings Container,X'e8503cba35dac94dbcd599f96b17e61d',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=ms-DS-Password-Settings-Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Password Settings Container,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=PSPs,CN=System,DC=domain,DC=local",msImaging-PSPs,"CN=PSPs,CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5827,,5827,PSPs,X'80af71811ec75b4bb995b4fd7a55304c',,,,,,,,,,,,,,,,,,,,,,,"CN=ms-Imaging-PSPs,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,PSPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrator,CN=Users,DC=domain,DC=local",user,"CN=Administrator,CN=Users,DC=domain,DC=local",4,20200606025650.0Z,20210416033841.0Z,,8196,,77860,Administrator,X'4f0750b2302754478424148306a5ee0e',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e97395f4010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;20200606031959.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Administrator,Built-in account for administering the computer/domain,,,,,,,,,,,,,,,,,,,,,,"CN=Group Policy Creator Owners,CN=Users,DC=domain,DC=local;CN=Domain Admins,CN=Users,DC=domain,DC=local;CN=Enterprise Admins,CN=Users,DC=domain,DC=local;CN=Schema Admins,CN=Users,DC=domain,DC=local;CN=Administrators,CN=Builtin,DC=domain,DC=local",66048,0,0,0,132632694287656250,0,132634525153906250,X'ffffffffffffffffffffffffffffffffffffffffff',132550632770937500,513,1,0,51,Administrator,805306368,0,132630179216562500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guest,CN=Users,DC=domain,DC=local",user,"CN=Guest,CN=Users,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8197,,8197,Guest,X'86263f6c8b9f4c4a8a55e162f27025c9',,,,,,,,,,,,,X'010500000000000515000000702532136ccab54895e97395f5010000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Guest,Built-in account for guest access to the computer/domain,,,,,,,,,,,,,,,,,,,,,,"CN=Guests,CN=Builtin,DC=domain,DC=local",66082,0,0,0,0,0,0,,0,514,,9223372036854775807,0,Guest,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Builtin,DC=domain,DC=local",builtinDomain,"CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8198,,8198,Builtin,X'7f1edb6641fcf04b8a348ee9da988d86',128920205740836625,-9223372036854775808,-18000000000,-18000000000,0,-37108517437440,0,0,0,1000,0,0,X'010100000000000520000000',1,1,119,,,,,-1946157056,,"CN=Builtin-Domain,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,Builtin,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Administrators,CN=Builtin,DC=domain,DC=local",group,"CN=Administrators,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606031958.0Z,,8199,,16515,Administrators,X'ba4a8ca721e270408c06d747caf77a2d',,,,,,,,,,,,,X'01020000000000052000000020020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Administrators,Administrators have complete and unrestricted access to the computer/domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Administrators,536870912,,,,"CN=Domain Admins,CN=Users,DC=domain,DC=local;CN=Enterprise Admins,CN=Users,DC=domain,DC=local;CN=Administrator,CN=Users,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,CN=Builtin,DC=domain,DC=local",group,"CN=Users,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025743.0Z,,8202,,12381,Users,X'5dd772358217914a8523b5d63a982e46',,,,,,,,,,,,,X'01020000000000052000000021020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Users,Users are prevented from making accidental or intentional system-wide changes and can run most applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Users,536870912,,,,"CN=Domain Users,CN=Users,DC=domain,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=domain,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=domain,DC=local",foreignSecurityPrincipal,"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8203,,8203,S-1-5-4,X'ff29f638fc16e241a9bd33de7580d7a9',,,,,,,,,,,,,X'010100000000000504000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-4,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=Users,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=domain,DC=local",foreignSecurityPrincipal,"CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8204,,8204,S-1-5-11,X'de22cdbf996a544f89749e243527f6a7',,,,,,,,,,,,,X'01010000000000050b000000',,,,,,,,,,"CN=Foreign-Security-Principal,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,S-1-5-11,,TRUE,,,,,,,,,,,,,,,,,,,,,"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=domain,DC=local;CN=Users,CN=Builtin,DC=domain,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guests,CN=Builtin,DC=domain,DC=local",group,"CN=Guests,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025743.0Z,,8208,,12383,Guests,X'7f2a55655db83146b61e2825f49c316b',,,,,,,,,,,,,X'01020000000000052000000022020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Guests,"Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guests,536870912,,,,"CN=Domain Guests,CN=Users,DC=domain,DC=local;CN=Guest,CN=Users,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Print Operators,CN=Builtin,DC=domain,DC=local",group,"CN=Print Operators,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20210421041144.0Z,,8211,,155675,Print Operators,X'fe83f0ce77433f4a870633aab99b3c7e',,,,,,,,,,,,,X'01020000000000052000000026020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Print Operators,Members can administer domain printers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Print Operators,536870912,,,,"CN=security_group_46,OU=Finance,OU=Florida,DC=domain,DC=local;CN=security_group_44,OU=Finance,OU=Florida,DC=domain,DC=local;CN=security_group_36,OU=Finance,OU=Texas,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Backup Operators,CN=Builtin,DC=domain,DC=local",group,"CN=Backup Operators,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606031958.0Z,,8212,,16510,Backup Operators,X'244667854dd4844f936f8de0dc47fd9d',,,,,,,,,,,,,X'01020000000000052000000027020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Backup Operators,Backup Operators can override security restrictions for the sole purpose of backing up or restoring files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Backup Operators,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Replicator,CN=Builtin,DC=domain,DC=local",group,"CN=Replicator,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606031958.0Z,,8213,,16513,Replicator,X'916d2a8809ce914e848915d198bcac5c',,,,,,,,,,,,,X'01020000000000052000000028020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;20200606031958.0Z;16010101000000.0Z,,,,,,,,,,,,Replicator,Supports file replication in a domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Replicator,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Remote Desktop Users,CN=Builtin,DC=domain,DC=local",group,"CN=Remote Desktop Users,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20210421040501.0Z,,8214,,153633,Remote Desktop Users,X'b410366e6501da47b84f7691143d577f',,,,,,,,,,,,,X'0102000000000005200000002b020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Remote Desktop Users,Members in this group are granted the right to logon remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remote Desktop Users,536870912,,,,"CN=security_group_71,OU=dev_admin,OU=Developers,OU=Texas,DC=domain,DC=local",-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Network Configuration Operators,CN=Builtin,DC=domain,DC=local",group,"CN=Network Configuration Operators,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8215,,8215,Network Configuration Operators,X'78100cb71d76f34f9026c28145ceff97',,,,,,,,,,,,,X'0102000000000005200000002c020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Network Configuration Operators,Members in this group can have some administrative privileges to manage configuration of networking features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Configuration Operators,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Performance Monitor Users,CN=Builtin,DC=domain,DC=local",group,"CN=Performance Monitor Users,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8216,,8216,Performance Monitor Users,X'39dc9de1c080ff42a7c3c24dc4c68bb9',,,,,,,,,,,,,X'0102000000000005200000002e020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Performance Monitor Users,Members of this group can access performance counter data locally and remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performance Monitor Users,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Performance Log Users,CN=Builtin,DC=domain,DC=local",group,"CN=Performance Log Users,CN=Builtin,DC=domain,DC=local",4,20200606025650.0Z,20200606025650.0Z,,8217,,8217,Performance Log Users,X'eab3f28cf40f3542be607f784c26f464',,,,,,,,,,,,,X'0102000000000005200000002f020000',,,,,,,,-1946157056,,"CN=Group,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000000.0Z,,,,,,,,,,,,Performance Log Users,"Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performance Log Users,536870912,,,,,-2147483643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
